repository_path,source_file,rows,columns,contains_record_level_identifiers,contains_raw_dimensions_text
derived_outputs/primary/association_model_coefficients.csv,association_model_coefficients.csv,18,11,False,False
derived_outputs/primary/policy_window_model_coefficients.csv,policy_window_model_coefficients.csv,27,12,False,False
derived_outputs/primary/record_year_difference_summary.csv,record_year_difference_summary.csv,2,13,False,False
derived_outputs/primary/network_basic_statistics.csv,network_basic_statistics.csv,6,17,False,False
derived_outputs/primary/network_degree_concentration.csv,network_degree_concentration.csv,18,7,False,False
derived_outputs/primary/cross_relation_alignment_null_summary.csv,cross_relation_alignment_null_summary.csv,10,13,False,False
derived_outputs/robustness/robustness_model_coefficients.csv,robustness_model_coefficients.csv,123,14,False,False
derived_outputs/robustness/firth_policy_coefficients.csv,firth_policy_coefficients.csv,18,14,False,False
derived_outputs/robustness/model_diagnostics.csv,model_diagnostics.csv,13,20,False,False
derived_outputs/robustness/firth_policy_diagnostics.csv,firth_policy_diagnostics.csv,2,13,False,False
derived_outputs/robustness/influence_diagnostics.csv,influence_diagnostics.csv,13,6,False,False
derived_outputs/robustness/variance_inflation_factors.csv,variance_inflation_factors.csv,110,3,False,False
derived_outputs/robustness/predictor_correlations.csv,predictor_correlations.csv,424,5,False,False
derived_outputs/robustness/standardized_probability_contrasts.csv,standardized_probability_contrasts.csv,26,7,False,False
derived_outputs/robustness/model_samples.csv,model_samples.csv,13,9,False,False
derived_outputs/robustness/grant_degree_distribution.csv,grant_degree_distribution.csv,32,4,False,False
derived_outputs/robustness/dictionary_term_frequencies.csv,dictionary_term_frequencies.csv,30,6,False,False
derived_outputs/robustness/ethics_dictionary_subfamily_frequencies.csv,ethics_dictionary_subfamily_frequencies.csv,6,6,False,False
derived_outputs/robustness/language_metadata_summary.csv,language_metadata_summary.csv,2,5,False,False
derived_outputs/robustness/alignment_hub_deletion_sensitivity.csv,alignment_hub_deletion_sensitivity.csv,4,9,False,False
derived_outputs/screening/overall_summary.csv,overall_summary.csv,1,9,False,False
derived_outputs/screening/validation_checks.csv,validation_checks.csv,5,3,False,False
derived_outputs/robustness/targeted_robustness_manifest.json,robustness_manifest.json,1,0,False,False
