network,partition,node_count,top_node_share,top_node_count,top_nodes_weighted_edge_share,weighted_degree_gini
publication_grant,publication,1974,0.01,20,0.098338,0.481038
publication_grant,publication,1974,0.05,99,0.280943,0.481038
publication_grant,publication,1974,0.1,198,0.396745,0.481038
publication_grant,grant,3983,0.01,40,0.104612,0.288082
publication_grant,grant,3983,0.05,200,0.227196,0.288082
publication_grant,grant,3983,0.1,399,0.319939,0.288082
publication_policy_document,publication,212,0.01,3,0.124654,0.329993
publication_policy_document,publication,212,0.05,11,0.229917,0.329993
publication_policy_document,publication,212,0.1,22,0.3241,0.329993
publication_policy_document,policy_document,255,0.01,3,0.116343,0.268101
publication_policy_document,policy_document,255,0.05,13,0.235457,0.268101
publication_policy_document,policy_document,255,0.1,26,0.31856,0.268101
policy_issuer_publication,policy_issuer,55,0.01,1,0.149584,0.684563
policy_issuer_publication,policy_issuer,55,0.05,3,0.390582,0.684563
policy_issuer_publication,policy_issuer,55,0.1,6,0.634349,0.684563
policy_issuer_publication,publication,212,0.01,3,0.124654,0.329993
policy_issuer_publication,publication,212,0.05,11,0.229917,0.329993
policy_issuer_publication,publication,212,0.1,22,0.3241,0.329993
