n_linked_grants,n_publications,share_of_all_publications,share_among_grant_linked_publications
0,9128,0.8221941992433796,
1,855,0.0770131507836425,0.4331306990881459
2,437,0.0393622770671951,0.2213779128672745
3,234,0.0210772833723653,0.1185410334346504
4,142,0.0127904882003242,0.07193515704154
5,89,0.008016573590344,0.0450861195542046
6,66,0.0059448747973338,0.033434650455927
7,21,0.0018915510718789,0.0106382978723404
8,25,0.0022518465141415,0.0126646403242147
9,15,0.0013511079084849,0.0075987841945288
10,16,0.0014411817690506,0.0081053698074974
11,4,0.0003602954422626,0.0020263424518743
12,13,0.0011709601873536,0.0065856129685916
13,8,0.0007205908845253,0.0040526849037487
14,4,0.0003602954422626,0.0020263424518743
15,7,0.0006305170239596,0.0035460992907801
16,2,0.0001801477211313,0.0010131712259371
17,2,0.0001801477211313,0.0010131712259371
18,1,9.007386056566384e-05,0.0005065856129685
20,2,0.0001801477211313,0.0010131712259371
21,4,0.0003602954422626,0.0020263424518743
23,5,0.0004503693028283,0.0025329280648429
24,5,0.0004503693028283,0.0025329280648429
25,4,0.0003602954422626,0.0020263424518743
26,2,0.0001801477211313,0.0010131712259371
27,3,0.0002702215816969,0.0015197568389057
28,2,0.0001801477211313,0.0010131712259371
29,1,9.007386056566384e-05,0.0005065856129685
32,1,9.007386056566384e-05,0.0005065856129685
35,1,9.007386056566384e-05,0.0005065856129685
39,1,9.007386056566384e-05,0.0005065856129685
42,2,0.0001801477211313,0.0010131712259371
