model_label,model_family,outcome,model_status,converged,n_observations,n_events,event_rate_pct,n_parameters_including_intercept,aic,log_likelihood,pseudo_r2_mcfadden,covariance_estimator,perfect_separation_warning,convergence_warning,fitted_probability_min,fitted_probability_max,near_zero_probability_n,near_one_probability_n,separation_note
grant_primary,binomial_logistic,has_grant_link,fit,True,11102,1974,17.78058007566204,9,9254.509723143015,-4618.254861571509,0.1112400753202236,HC3 robust,False,False,0.0366416203272879,0.8099613835484698,0,0,"No perfect-separation warning was emitted by the binomial GLM fit; fitted-probability extremes are reported as a screening diagnostic, not as a proof that quasi-separation is absent."
grant_complete_case,binomial_logistic,has_grant_link,fit,True,10766,1954,18.14973063347576,9,9103.885488279057,-4542.942744139528,0.1091193457510391,HC3 robust,False,False,0.0371105722886819,0.8074226517878844,0,0,"No perfect-separation warning was emitted by the binomial GLM fit; fitted-probability extremes are reported as a screening diagnostic, not as a proof that quasi-separation is absent."
grant_no_citation_adjustment,binomial_logistic,has_grant_link,fit,True,11102,1974,17.78058007566204,8,10030.86075516444,-5007.43037758222,0.0363452042781359,HC3 robust,False,False,0.0873058005982263,0.7515247765923153,0,0,"No perfect-separation warning was emitted by the binomial GLM fit; fitted-probability extremes are reported as a screening diagnostic, not as a proof that quasi-separation is absent."
grant_flexible_year,binomial_logistic,has_grant_link,fit,True,11102,1974,17.78058007566204,12,9168.040358412412,-4572.020179206206,0.1201377074449688,HC3 robust,False,False,4.854587710277306e-05,0.8464425590601252,0,0,"No perfect-separation warning was emitted by the binomial GLM fit; fitted-probability extremes are reported as a screening diagnostic, not as a proof that quasi-separation is absent."
grant_start_on_or_before_publication,binomial_logistic,has_grant_start_on_or_before_publication_link,fit,True,11102,1972,17.76256530354891,9,9249.866428350226,-4615.933214175113,0.1111627944686589,HC3 robust,False,False,0.0366714722797674,0.8099652710671895,0,0,"No perfect-separation warning was emitted by the binomial GLM fit; fitted-probability extremes are reported as a screening diagnostic, not as a proof that quasi-separation is absent."
policy_2021_primary,binomial_logistic,has_policy_document_link,fit,True,2271,147,6.472919418758257,9,850.508528771895,-416.2542643859475,0.2356067238202767,HC3 robust,False,False,0.000300211526697,0.8083392538530297,0,0,"No perfect-separation warning was emitted by the binomial GLM fit; fitted-probability extremes are reported as a screening diagnostic, not as a proof that quasi-separation is absent."
policy_2020_robustness,binomial_logistic,has_policy_document_link,fit,True,1550,120,7.741935483870968,9,642.7232910288027,-312.36164551440135,0.2602488212539888,HC3 robust,False,False,9.882652672678248e-05,0.894192853877357,0,0,"No perfect-separation warning was emitted by the binomial GLM fit; fitted-probability extremes are reported as a screening diagnostic, not as a proof that quasi-separation is absent."
policy_2021_complete_case,binomial_logistic,has_policy_document_link,fit,True,2197,147,6.690942193900774,9,848.7633927743975,-415.3816963871988,0.2300870283295946,HC3 robust,False,False,0.0003123036945746,0.8061954518390639,0,0,"No perfect-separation warning was emitted by the binomial GLM fit; fitted-probability extremes are reported as a screening diagnostic, not as a proof that quasi-separation is absent."
policy_2020_complete_case,binomial_logistic,has_policy_document_link,fit,True,1494,120,8.032128514056225,9,641.2734736009148,-311.6367368004574,0.2538376486559752,HC3 robust,False,False,0.0001027206890658,0.893126586641638,0,0,"No perfect-separation warning was emitted by the binomial GLM fit; fitted-probability extremes are reported as a screening diagnostic, not as a proof that quasi-separation is absent."
policy_2021_no_citation_adjustment,binomial_logistic,has_policy_document_link,fit,True,2271,147,6.472919418758257,8,1083.6352822646468,-533.8176411323234,0.0197178731859645,HC3 robust,False,False,0.0292055380145293,0.198580594617378,0,0,"No perfect-separation warning was emitted by the binomial GLM fit; fitted-probability extremes are reported as a screening diagnostic, not as a proof that quasi-separation is absent."
policy_2020_no_citation_adjustment,binomial_logistic,has_policy_document_link,fit,True,1550,120,7.741935483870968,8,824.9032815857049,-404.45164079285246,0.0421564800967964,HC3 robust,False,False,0.0153247403187617,0.310473957601175,0,0,"No perfect-separation warning was emitted by the binomial GLM fit; fitted-probability extremes are reported as a screening diagnostic, not as a proof that quasi-separation is absent."
policy_2021_flexible_year,binomial_logistic,has_policy_document_link,fit,True,2271,147,6.472919418758257,12,845.4011646000157,-410.7005823000079,0.2458052913972228,HC3 robust,False,False,0.0001469041031965,0.8396772549915914,0,0,"No perfect-separation warning was emitted by the binomial GLM fit; fitted-probability extremes are reported as a screening diagnostic, not as a proof that quasi-separation is absent."
policy_2020_flexible_year,binomial_logistic,has_policy_document_link,fit,True,1550,120,7.741935483870968,12,639.0834129822368,-307.5417064911184,0.2716636528287349,HC3 robust,False,False,6.600973575138455e-05,0.931582954515998,0,0,"No perfect-separation warning was emitted by the binomial GLM fit; fitted-probability extremes are reported as a screening diagnostic, not as a proof that quasi-separation is absent."
